Frequency (Hz)	Level (dB)
565.429688	-80.334068
566.406250	-80.761719
567.382812	-79.348976
568.359375	-79.630211
569.335938	-79.721664
570.312500	-78.892014
571.289062	-80.171318
572.265625	-79.747665
573.242188	-79.759842
574.218750	-80.463966
575.195312	-79.853264
576.171875	-79.523376
577.148438	-78.950874
578.125000	-79.616356
579.101562	-79.891373
580.078125	-79.941277
581.054688	-79.348503
582.031250	-78.897240
583.007812	-78.800415
583.984375	-79.899178
584.960938	-80.110870
585.937500	-79.245193
586.914062	-78.279900
587.890625	-79.006966
588.867188	-78.713860
589.843750	-78.537605
590.820312	-78.204910
591.796875	-78.950294
592.773438	-78.166641
593.750000	-78.363945
594.726562	-78.683083
595.703125	-79.319817
596.679688	-78.330132
597.656250	-77.864410
598.632812	-78.811035
599.609375	-77.224319
600.585938	-78.476799
601.562500	-77.853485
602.539062	-77.794312
603.515625	-78.112556
604.492188	-78.398643
605.468750	-78.051399
606.445312	-78.246643
607.421875	-76.877304
608.398438	-78.852570
609.375000	-78.023094
610.351562	-76.548233
611.328125	-77.879021
612.304688	-76.938622
613.281250	-77.992195
614.257812	-76.925453
615.234375	-76.802361
616.210938	-76.867561
617.187500	-76.867241
618.164062	-76.748604
619.140625	-77.361328
620.117188	-76.610100
621.093750	-76.563591
622.070312	-76.286552
623.046875	-76.605858
624.023438	-76.184654
625.000000	-75.594887
625.976562	-76.196686
626.953125	-75.892990
627.929688	-75.918495
628.906250	-76.748268
629.882812	-76.063110
630.859375	-75.916656
631.835938	-76.043610
632.812500	-75.149773
633.789062	-74.878937
634.765625	-76.396492
635.742188	-74.657890
636.718750	-74.540314
637.695312	-75.129768
638.671875	-74.301147
639.648438	-74.449348
640.625000	-74.753098
641.601562	-74.892044
642.578125	-73.660561
643.554688	-73.702240
644.531250	-73.394958
645.507812	-72.757042
646.484375	-74.621994
647.460938	-74.427780
648.437500	-72.924736
649.414062	-73.161194
650.390625	-73.473885
651.367188	-72.262039
652.343750	-71.590485
653.320312	-72.500175
654.296875	-72.276131
